time	V(h)	V(vin)
2.293309150166708e-003	-3.334935e-002	1.000000e+000
2.327488837666709e-003	-2.145861e-002	1.000000e+000
2.361668525166709e-003	-9.811529e-003	1.000000e+000
2.395848212666709e-003	1.576625e-003	1.000000e+000
2.430027900166709e-003	1.269171e-002	1.000000e+000
2.464207587666709e-003	2.352121e-002	1.000000e+000
2.498387275166709e-003	3.405362e-002	1.000000e+000
2.532566962666709e-003	4.427894e-002	1.000000e+000
2.566746650166710e-003	5.418807e-002	1.000000e+000
2.600926337666710e-003	6.377333e-002	1.000000e+000
2.635106025166710e-003	7.302780e-002	1.000000e+000
2.669285712666710e-003	8.194590e-002	1.000000e+000
2.703465400166710e-003	9.052269e-002	1.000000e+000
2.737645087666710e-003	9.875446e-002	1.000000e+000
2.771824775166710e-003	1.066381e-001	1.000000e+000
2.806004462666711e-003	1.141715e-001	1.000000e+000
2.840184150166711e-003	1.213531e-001	1.000000e+000
2.874363837666711e-003	1.281824e-001	1.000000e+000
2.908543525166711e-003	1.346656e-001	1.000000e+000
2.940233490883854e-003	1.403565e-001	1.000000e+000
2.974413178383855e-003	1.461501e-001	1.000000e+000
3.008592865883855e-003	1.516013e-001	1.000000e+000
3.042772553383855e-003	1.567057e-001	1.000000e+000
3.076952240883855e-003	1.614663e-001	1.000000e+000
3.111131928383855e-003	1.658860e-001	1.000000e+000
3.145311615883855e-003	1.699687e-001	1.000000e+000
3.179491303383855e-003	1.737182e-001	1.000000e+000
3.213670990883856e-003	1.771388e-001	1.000000e+000
3.247850678383856e-003	1.802353e-001	1.000000e+000
3.316210053383856e-003	1.854758e-001	1.000000e+000
3.384569428383856e-003	1.894822e-001	1.000000e+000
3.452928803383857e-003	1.923007e-001	1.000000e+000
3.521288178383857e-003	1.939803e-001	1.000000e+000
3.589647553383857e-003	1.945721e-001	1.000000e+000
3.658006928383857e-003	1.941289e-001	1.000000e+000
3.760545990883858e-003	1.916421e-001	1.000000e+000
3.863085053383858e-003	1.871339e-001	1.000000e+000
3.965624115883858e-003	1.807915e-001	1.000000e+000
4.068163178383859e-003	1.728016e-001	1.000000e+000
4.141405365883859e-003	1.660289e-001	1.000000e+000
4.214647553383859e-003	1.587372e-001	1.000000e+000
4.287889740883859e-003	1.509263e-001	1.000000e+000
4.361131928383860e-003	1.425964e-001	1.000000e+000
4.434374115883860e-003	1.337473e-001	1.000000e+000
4.507616303383860e-003	1.243791e-001	1.000000e+000
4.580858490883861e-003	1.144919e-001	1.000000e+000
4.610155365883861e-003	1.105019e-001	1.000000e+000
4.639452240883861e-003	1.064763e-001	1.000000e+000
4.668749115883861e-003	1.024150e-001	1.000000e+000
4.698045990883861e-003	9.831807e-002	1.000000e+000
4.727342865883861e-003	9.418550e-002	1.000000e+000
4.756639740883861e-003	9.001730e-002	1.000000e+000
4.785936615883862e-003	8.581346e-002	1.000000e+000
4.812674072122344e-003	8.196592e-002	1.000000e+000
4.832470391138280e-003	7.910568e-002	1.000000e+000
4.844410069770345e-003	7.737666e-002	1.000000e+000
4.851391534731056e-003	7.636254e-002	1.000000e+000
4.857106291248111e-003	7.553305e-002	1.000000e+000
4.858730408962834e-003	7.529590e-002	1.000000e+000
4.860198732954815e-003	7.508878e-002	1.000000e+000
4.861020167778625e-003	7.496731e-002	1.000000e+000
4.862767019188257e-003	7.471018e-002	1.000000e+000
